WinningTeam,BattleTime,playerTag,mode,map,result,StarPlayerTag,StarPlayerBrawler,Brawler1Name,Brawler1Tag,Brawler2Name,Brawler2Tag,Brawler3Name,Brawler3Tag,Brawler4Name,Brawler4Tag,Brawler5Name,Brawler5Tag,Brawler6Name,Brawler6Tag
1,20200530T122433.000Z,#9U2QJ0P,brawlBall,Backyard Bowl,1,#9U2QJ0P,BEA,PIPER,#VGR0CJ29,BEA,#9U2QJ0P,GENE,#9UR09Q80Y,BEA,#222VJU0CU,BROCK,#20C2RRRGY,EMZ,#Y220JJJ9
1,20200530T121808.000Z,#9U2QJ0P,brawlBall,Backyard Bowl,1,#9U2QJ0P,BEA,PIPER,#VGR0CJ29,BEA,#9U2QJ0P,GENE,#9UR09Q80Y,GENE,#2R9YVLQY,MAX,#22L8CLYQU,PENNY,#28U009JPY
1,20200530T121207.000Z,#9U2QJ0P,brawlBall,Backyard Bowl,1,#9U2QJ0P,BEA,PIPER,#VGR0CJ29,BEA,#9U2QJ0P,GENE,#9UR09Q80Y,GENE,#8YVQRQP,BROCK,#9QJP9LP,SPIKE,#98VJCL2PQ
1,20200530T120359.000Z,#9U2QJ0P,brawlBall,Backyard Bowl,1,#VGR0CJ29,PIPER,PIPER,#VGR0CJ29,BEA,#9U2QJ0P,GENE,#9UR09Q80Y,JACKY,#2UPURLUG2,FRANK,#2UCV2R0LV,POCO,#22RURYRV0
1,20200530T120028.000Z,#9U2QJ0P,brawlBall,Backyard Bowl,1,#VGR0CJ29,PIPER,PIPER,#VGR0CJ29,BEA,#9U2QJ0P,GENE,#9UR09Q80Y,PIPER,#PUG8CR80,BROCK,#98JQVGLP9,JACKY,#8822ULJ9Q
1,20200530T115600.000Z,#9U2QJ0P,brawlBall,Backyard Bowl,1,#9UR09Q80Y,GENE,GENE,#9UR09Q80Y,BEA,#9U2QJ0P,PIPER,#VGR0CJ29,SPROUT,#G0L99VGL,PIPER,#298R28UG2,BROCK,#QRVCCPPR
2,20200530T115304.000Z,#9U2QJ0P,brawlBall,Backyard Bowl,1,#VGR0CJ29,PIPER,PAM,#20JRL29PY,SPIKE,#2Q0QQLL22,BEA,#R9VULU8C,PIPER,#VGR0CJ29,GENE,#9UR09Q80Y,BEA,#9U2QJ0P
2,20200530T115056.000Z,#9U2QJ0P,brawlBall,Backyard Bowl,1,#VGR0CJ29,PIPER,PIPER,#20JLGV0QL,PAM,#PPLJLLL,GENE,#GG8U2UCQ,PIPER,#VGR0CJ29,BEA,#9U2QJ0P,GENE,#9UR09Q80Y
2,20200530T114747.000Z,#9U2QJ0P,brawlBall,Backyard Bowl,1,#9UR09Q80Y,GENE,BEA,#PJJ9P890,NITA,#2JLJLLQV2,GENE,#P2CPL80J,PIPER,#VGR0CJ29,BEA,#9U2QJ0P,GENE,#9UR09Q80Y
1,20200530T072328.000Z,#29Y988P,brawlBall,Triple Dribble,1,#P2R09YQ,SANDY,SPIKE,#29Y988P,GENE,#2V8GGLV,SANDY,#P2R09YQ,SPIKE,#VQG0CVL,BEA,#2LPC9L28,GENE,#2CRY9P8YJ
0,20200530T071957.000Z,#29Y988P,brawlBall,Triple Dribble,0,#2LPC9L28,BEA,GENE,#29Y988P,BIBI,#P2R09YQ,SPIKE,#2V8GGLV,GENE,#2CRY9P8YJ,SPIKE,#VQG0CVL,BEA,#2LPC9L28
2,20200530T143201.000Z,#8P80J8RC,brawlBall,Backyard Bowl,-1,#YCC8VGRU,PAM,MR. P,#8P80J8RC,BEA,#UQY8PCGP,BROCK,#PQRVCC,MAX,#YLQRPRJ,PAM,#YCC8VGRU,PIPER,#9JY82J8U
1,20200530T142911.000Z,#8P80J8RC,brawlBall,Backyard Bowl,1,#UQY8PCGP,BEA,BROCK,#PQRVCC,BEA,#UQY8PCGP,MR. P,#8P80J8RC,BEA,#LV0QP0J,POCO,#2YLUQLL92,MORTIS,#VRL8JURC
2,20200530T142430.000Z,#8P80J8RC,brawlBall,Backyard Bowl,-1,#8LC2CJY2,MR. P,MR. P,#8P80J8RC,BROCK,#PQRVCC,BEA,#UQY8PCGP,MR. P,#8LC2CJY2,SPIKE,#2UR0PL9Q,BEA,#PL02GJ0U
1,20200530T142017.000Z,#8P80J8RC,brawlBall,Backyard Bowl,1,#8P80J8RC,MR. P,BROCK,#PQRVCC,BEA,#UQY8PCGP,MR. P,#8P80J8RC,BEA,#82CLJQLPR,BROCK,#P0L9GG9L0,EMZ,#2LCVQ0UY2
2,20200530T141625.000Z,#8P80J8RC,brawlBall,Backyard Bowl,1,#8P80J8RC,MR. P,BEA,#UUUL2PLY,BROCK,#PYPJJYCL,PAM,#2RCLGVVVL,BROCK,#PQRVCC,BEA,#UQY8PCGP,MR. P,#8P80J8RC
2,20200530T140826.000Z,#8P80J8RC,brawlBall,Backyard Bowl,1,#PQRVCC,BROCK,SANDY,#8V8QYV0P0,JESSIE,#9UYRL8VG,CROW,#8QRQRYR2V,BROCK,#PQRVCC,BEA,#UQY8PCGP,MR. P,#8P80J8RC
2,20200530T140427.000Z,#8P80J8RC,brawlBall,Backyard Bowl,1,#8P80J8RC,MR. P,JACKY,#8LUY9PPRL,CROW,#8QJCPLCQL,TARA,#2Y8CVU8QJ,BEA,#UQY8PCGP,MR. P,#8P80J8RC,BROCK,#PQRVCC
2,20200530T140031.000Z,#8P80J8RC,brawlBall,Backyard Bowl,1,#8P80J8RC,MR. P,PAM,#R28VYC9,COLT,#8VUQPYC,MORTIS,#80RPLCCJ9,BEA,#UQY8PCGP,MR. P,#8P80J8RC,BROCK,#PQRVCC
1,20200530T135358.000Z,#8P80J8RC,brawlBall,Backyard Bowl,1,#PQRVCC,BROCK,BROCK,#PQRVCC,MR. P,#8P80J8RC,BEA,#UQY8PCGP,BEA,#YC2LGPVG,PIPER,#GRQ9CGQG,PAM,#9P08YPV9
1,20200530T135012.000Z,#8P80J8RC,brawlBall,Backyard Bowl,1,#PQRVCC,BROCK,BROCK,#PQRVCC,BEA,#UQY8PCGP,MR. P,#8P80J8RC,BEA,#2PVC2PJRU,EMZ,#2UG9PQP0J,MORTIS,#VLCLPRPU
2,20200530T134504.000Z,#8P80J8RC,brawlBall,Backyard Bowl,1,#PQRVCC,BROCK,BEA,#2VL2CCCG,PAM,#2VPQUC0V9,PENNY,#JCQRL2GU,BROCK,#PQRVCC,BEA,#UQY8PCGP,MR. P,#8P80J8RC
1,20200530T134154.000Z,#8P80J8RC,brawlBall,Backyard Bowl,1,#UQY8PCGP,BEA,MR. P,#8P80J8RC,BROCK,#PQRVCC,BEA,#UQY8PCGP,CROW,#8CQ0YULP,COLT,#2JRR0ULU,MORTIS,#Q0RCCLV
2,20200530T133904.000Z,#8P80J8RC,brawlBall,Backyard Bowl,1,#8P80J8RC,MR. P,BEA,#22CLLGU9L,POCO,#2CUL8U9PP,DARRYL,#28Q829YGY,BROCK,#PQRVCC,BEA,#UQY8PCGP,MR. P,#8P80J8RC
2,20200530T133529.000Z,#8P80J8RC,brawlBall,Backyard Bowl,-1,#9QRVR0CY,SANDY,SANDY,#9QRVR0CY,TARA,#2R80LUQUP,MORTIS,#8JYQV90U8,BROCK,#PQRVCC,PAM,#UQY8PCGP,MR. P,#8P80J8RC
2,20200530T132707.000Z,#8P80J8RC,brawlBall,Backyard Bowl,-1,#29Q9V2C9R,PENNY,PENNY,#29Q9V2C9R,BEA,#2PJ09CGYR,EMZ,#22L20GPL8,PAM,#UQY8PCGP,BEA,#V89Y2GP0,MR. P,#8P80J8RC
2,20200530T132249.000Z,#8P80J8RC,brawlBall,Backyard Bowl,-1,#2CYGR2UY,MORTIS,BROCK,#V89Y2GP0,BEA,#UQY8PCGP,MR. P,#8P80J8RC,BEA,#9R09P2QV,MORTIS,#2CYGR2UY,JACKY,#2PPRQ2QCC
2,20200530T131847.000Z,#8P80J8RC,brawlBall,Backyard Bowl,-1,#JQ9VLPG2,MORTIS,PAM,#9J29U0YJ,BEA,#29J0YY02J,MORTIS,#JQ9VLPG2,BROCK,#V89Y2GP0,MR. P,#8P80J8RC,BEA,#UQY8PCGP
1,20200530T131544.000Z,#8P80J8RC,brawlBall,Backyard Bowl,1,#8P80J8RC,MR. P,BROCK,#V89Y2GP0,BEA,#UQY8PCGP,MR. P,#8P80J8RC,CROW,#QY2RJUC,BEA,#220P8RQ0U,MORTIS,#2VP9998G
2,20200530T130704.000Z,#8P80J8RC,brawlBall,Backyard Bowl,-1,#GJJ9CVVL,PAM,PENNY,#V9QGJY9,BEA,#UQY8PCGP,MR. P,#8P80J8RC,JACKY,#J2GLCUY8,BEA,#8U2P8VR2,PAM,#GJJ9CVVL
